Date & Hour;Open;High;Low;Close;Volume
2022-10-31 17:00:00;2.6800;2.6800;2.6800;2.6800;100
2022-10-31 16:00:00;2.6400;2.6400;2.6400;2.6400;280249
2022-10-31 15:00:00;2.5550;2.6600;2.5500;2.6400;704672
2022-10-31 14:00:00;2.6250;2.6300;2.5400;2.5550;661855
2022-10-31 13:00:00;2.6150;2.6300;2.6000;2.6250;366037
2022-10-31 12:00:00;2.6000;2.6550;2.5900;2.6150;184881
2022-10-31 11:00:00;2.5750;2.6400;2.5700;2.6050;352105
2022-10-31 10:00:00;2.6200;2.6400;2.5550;2.5750;254270
2022-10-31 09:00:00;2.5700;2.6600;2.5300;2.6200;228439
2022-10-31 08:00:00;2.6500;2.6500;2.4520;2.4520;1930
2022-10-31 07:00:00;2.5600;2.6900;2.5600;2.6900;1012
2022-10-28 17:00:00;2.5300;2.5300;2.5300;2.5300;400
2022-10-28 16:00:00;2.5100;2.5400;2.5100;2.5100;250105
2022-10-28 15:00:00;2.5800;2.5800;2.5000;2.5100;1036855
2022-10-28 14:00:00;2.5700;2.5800;2.5550;2.5750;260315
2022-10-28 13:00:00;2.5700;2.5900;2.5500;2.5650;269609
2022-10-28 12:00:00;2.6000;2.6060;2.5650;2.5750;454521
2022-10-28 11:00:00;2.5000;2.6400;2.4910;2.6000;536116
2022-10-28 10:00:00;2.6000;2.6100;2.4800;2.5000;772635
2022-10-28 09:00:00;2.8000;2.8000;2.5750;2.5900;479023
2022-10-27 16:00:00;2.7400;2.7500;2.6500;2.7500;115551
2022-10-27 15:00:00;2.7400;2.7500;2.7300;2.7350;305280
2022-10-27 14:00:00;2.7500;2.7600;2.7300;2.7400;164330
2022-10-27 13:00:00;2.7500;2.7600;2.7400;2.7500;220725
2022-10-27 12:00:00;2.7200;2.7550;2.7150;2.7500;136023
2022-10-27 11:00:00;2.7250;2.7600;2.7150;2.7200;505775
2022-10-27 10:00:00;2.6950;2.7600;2.6800;2.7250;313758
2022-10-27 09:00:00;2.7500;2.7950;2.6800;2.7000;147801
2022-10-26 16:00:00;2.6900;2.6900;2.6900;2.6900;110623
2022-10-26 15:00:00;2.6900;2.7100;2.6700;2.6850;283379
2022-10-26 14:00:00;2.6750;2.6980;2.6700;2.6850;109122
2022-10-26 13:00:00;2.6700;2.6800;2.6500;2.6750;156549
2022-10-26 12:00:00;2.7300;2.7600;2.6700;2.6700;338245
2022-10-26 11:00:00;2.7650;2.7850;2.7200;2.7220;381291
2022-10-26 10:00:00;2.6800;2.8000;2.6800;2.7650;416680
2022-10-26 09:00:00;2.5800;2.7500;2.5800;2.6750;194297
2022-10-26 08:00:00;2.5000;2.6100;2.5000;2.6100;3854
2022-10-26 07:00:00;2.5300;2.5300;2.5300;2.5300;126
2022-10-25 17:00:00;2.5900;2.6000;2.5900;2.6000;3100
2022-10-25 16:00:00;2.6400;2.6400;2.5800;2.6300;146621
2022-10-25 15:00:00;2.6050;2.6750;2.6000;2.6300;998075
2022-10-25 14:00:00;2.5950;2.6950;2.5900;2.6050;417753
2022-10-25 13:00:00;2.6150;2.6400;2.5900;2.5950;239614
2022-10-25 12:00:00;2.6250;2.6600;2.6000;2.6150;331480
2022-10-25 11:00:00;2.5000;2.6500;2.4900;2.6250;467400
2022-10-25 10:00:00;2.4400;2.5700;2.4300;2.5000;574898
2022-10-25 09:00:00;2.2900;2.4800;2.2900;2.4400;374654
2022-10-24 19:00:00;2.2800;2.2800;2.2800;2.2800;2000
2022-10-24 17:00:00;2.2800;2.2800;2.2800;2.2800;280
2022-10-24 16:00:00;2.2800;2.2800;2.2800;2.2800;109713
2022-10-24 15:00:00;2.2550;2.2800;2.2450;2.2750;519892
2022-10-24 14:00:00;2.2450;2.2600;2.2300;2.2550;363649
2022-10-24 13:00:00;2.2950;2.3000;2.2400;2.2450;114703
2022-10-24 12:00:00;2.3200;2.3400;2.2900;2.2950;355680
2022-10-24 11:00:00;2.2300;2.3200;2.2250;2.3200;305833
2022-10-24 10:00:00;2.3100;2.3150;2.2100;2.2250;314981
2022-10-24 09:00:00;2.4800;2.4800;2.2950;2.3150;400376
2022-10-24 08:00:00;2.5100;2.5100;2.4600;2.4900;1480
2022-10-21 18:00:00;2.4900;2.4900;2.4900;2.4900;193
2022-10-21 16:00:00;2.4600;2.4600;2.3600;2.3600;157797
2022-10-21 15:00:00;2.4500;2.4800;2.4350;2.4600;396190
2022-10-21 14:00:00;2.4700;2.4900;2.4500;2.4500;101261
2022-10-21 13:00:00;2.4650;2.4850;2.4500;2.4650;146864
2022-10-21 12:00:00;2.4300;2.4800;2.4250;2.4650;202700
2022-10-21 11:00:00;2.3350;2.4350;2.3300;2.4250;157992
2022-10-21 10:00:00;2.3550;2.4750;2.3250;2.3300;360066
2022-10-21 09:00:00;2.4700;2.5100;2.3250;2.3550;337302
2022-10-21 08:00:00;2.4200;2.4700;2.4200;2.4700;5724
2022-10-20 17:00:00;2.5100;2.5100;2.5100;2.5100;2150
2022-10-20 16:00:00;2.4800;2.5300;2.4700;2.4700;92867
2022-10-20 15:00:00;2.4650;2.5100;2.4350;2.4750;667994
2022-10-20 14:00:00;2.5350;2.5350;2.4600;2.4650;209775
2022-10-20 13:00:00;2.5600;2.5700;2.5100;2.5350;184577
2022-10-20 12:00:00;2.6150;2.6150;2.5530;2.5600;135535
2022-10-20 11:00:00;2.5870;2.6700;2.5600;2.6150;316979
2022-10-20 10:00:00;2.4700;2.6200;2.4600;2.5850;611947
2022-10-20 09:00:00;2.4800;2.5250;2.4350;2.4650;221607
2022-10-20 08:00:00;2.5000;2.5000;2.5000;2.5000;1967
2022-10-19 16:00:00;2.5000;2.5200;2.5000;2.5200;74441
2022-10-19 15:00:00;2.5050;2.5100;2.4600;2.4900;916860
2022-10-19 14:00:00;2.4800;2.5300;2.4750;2.5050;155087
2022-10-19 13:00:00;2.4800;2.4890;2.4600;2.4750;307951
2022-10-19 12:00:00;2.5200;2.5250;2.4750;2.4850;260965
2022-10-19 11:00:00;2.5350;2.5400;2.5200;2.5200;164447
2022-10-19 10:00:00;2.5700;2.6050;2.5300;2.5350;258557
2022-10-19 09:00:00;2.7100;2.7500;2.5750;2.5750;119766
2022-10-19 08:00:00;2.7300;2.7300;2.7300;2.7300;100
2022-10-19 07:00:00;2.7600;2.7600;2.7600;2.7600;195
2022-10-18 18:00:00;2.7400;2.7400;2.7400;2.7400;400
2022-10-18 17:00:00;2.7500;2.7600;2.7500;2.7600;2491
2022-10-18 16:00:00;2.7400;2.7500;2.7400;2.7500;160567
2022-10-18 15:00:00;2.7400;2.7500;2.6800;2.7400;872394
2022-10-18 14:00:00;2.7500;2.7600;2.7000;2.7400;308205
2022-10-18 13:00:00;2.7250;2.7500;2.6900;2.7500;204939
2022-10-18 12:00:00;2.6850;2.7400;2.6800;2.7250;229798
2022-10-18 11:00:00;2.7200;2.7450;2.6300;2.6870;376810
2022-10-18 10:00:00;2.7450;2.7600;2.7100;2.7250;742639
2022-10-18 09:00:00;2.8000;2.8850;2.7400;2.7500;502294
2022-10-18 08:00:00;2.7800;2.8000;2.7800;2.7800;6102
2022-10-18 07:00:00;2.7600;2.7700;2.7600;2.7700;269
2022-10-18 06:00:00;2.7700;2.7700;2.7700;2.7700;140
2022-10-18 05:00:00;2.7600;2.7600;2.7600;2.7600;100
2022-10-17 19:00:00;2.7100;2.7200;2.7000;2.7200;5400
2022-10-17 18:00:00;2.7000;2.7000;2.7000;2.7000;100
2022-10-17 16:00:00;2.7000;2.7000;2.7000;2.7000;292470
2022-10-17 15:00:00;2.6500;2.7000;2.6200;2.7000;549774
2022-10-17 14:00:00;2.6250;2.6600;2.6210;2.6450;187832
2022-10-17 13:00:00;2.6400;2.6400;2.6100;2.6250;81909
2022-10-17 12:00:00;2.6750;2.6800;2.6400;2.6400;281286
2022-10-17 11:00:00;2.6200;2.6800;2.5800;2.6800;345446
2022-10-17 10:00:00;2.5600;2.6600;2.5600;2.6200;351197
2022-10-17 09:00:00;2.5600;2.5900;2.4300;2.5550;410950
2022-10-17 08:00:00;2.5000;2.6100;2.5000;2.6100;1260
2022-10-14 18:00:00;2.4900;2.4900;2.4900;2.4900;104
2022-10-14 16:00:00;2.4600;2.4900;2.4500;2.4900;110267
2022-10-14 15:00:00;2.4750;2.4800;2.4500;2.4550;417018
2022-10-14 14:00:00;2.4950;2.5000;2.4700;2.4700;117829
2022-10-14 13:00:00;2.4900;2.5000;2.4800;2.4950;135749
2022-10-14 12:00:00;2.5100;2.5250;2.4850;2.4850;207493
2022-10-14 11:00:00;2.5700;2.5900;2.5150;2.5150;119284
2022-10-14 10:00:00;2.7200;2.7200;2.5300;2.5650;496915
2022-10-14 09:00:00;2.7400;2.8200;2.7200;2.7250;148875
