,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2023-02-28 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-02-28 19:00:00,,"{'1. open': '93.9600', '2. high': '93.9600', '3. low': '93.6300', '4. close': '93.7600', '5. volume': '32796'}"
2023-02-28 18:00:00,,"{'1. open': '94.0000', '2. high': '94.1000', '3. low': '93.8800', '4. close': '93.9000', '5. volume': '18431'}"
2023-02-28 17:00:00,,"{'1. open': '94.0700', '2. high': '94.2300', '3. low': '93.9100', '4. close': '93.9600', '5. volume': '36965'}"
2023-02-28 16:00:00,,"{'1. open': '94.2300', '2. high': '94.7000', '3. low': '93.9100', '4. close': '94.0500', '5. volume': '6571982'}"
2023-02-28 15:00:00,,"{'1. open': '94.3950', '2. high': '94.5500', '3. low': '93.8600', '4. close': '94.2200', '5. volume': '7247703'}"
2023-02-28 14:00:00,,"{'1. open': '94.4500', '2. high': '94.6900', '3. low': '94.2700', '4. close': '94.4000', '5. volume': '3298945'}"
2023-02-28 13:00:00,,"{'1. open': '93.9390', '2. high': '94.6050', '3. low': '93.9260', '4. close': '94.4400', '5. volume': '4130943'}"
2023-02-28 12:00:00,,"{'1. open': '93.3500', '2. high': '94.0200', '3. low': '93.3500', '4. close': '93.9280', '5. volume': '2809871'}"
2023-02-28 11:00:00,,"{'1. open': '93.2530', '2. high': '93.6060', '3. low': '93.1700', '4. close': '93.3400', '5. volume': '2865413'}"
2023-02-28 10:00:00,,"{'1. open': '93.4000', '2. high': '93.6800', '3. low': '92.9200', '4. close': '93.2400', '5. volume': '5215796'}"
2023-02-28 09:00:00,,"{'1. open': '93.7100', '2. high': '93.7500', '3. low': '93.0600', '4. close': '93.3900', '5. volume': '4049166'}"
2023-02-28 08:00:00,,"{'1. open': '94.1600', '2. high': '94.2000', '3. low': '93.5600', '4. close': '93.7100', '5. volume': '173510'}"
2023-02-28 07:00:00,,"{'1. open': '94.1100', '2. high': '94.1700', '3. low': '93.9800', '4. close': '94.1300', '5. volume': '47077'}"
2023-02-28 06:00:00,,"{'1. open': '93.6400', '2. high': '94.2100', '3. low': '93.2300', '4. close': '94.1100', '5. volume': '25893'}"
2023-02-28 05:00:00,,"{'1. open': '93.3900', '2. high': '93.6000', '3. low': '93.3900', '4. close': '93.5600', '5. volume': '6964'}"
2023-02-28 04:00:00,,"{'1. open': '93.4000', '2. high': '93.4900', '3. low': '93.1500', '4. close': '93.3200', '5. volume': '8954'}"
2023-02-27 19:00:00,,"{'1. open': '93.6200', '2. high': '93.7000', '3. low': '93.6100', '4. close': '93.6400', '5. volume': '19628'}"
2023-02-27 18:00:00,,"{'1. open': '93.6500', '2. high': '93.7500', '3. low': '93.5900', '4. close': '93.6000', '5. volume': '24486'}"
2023-02-27 17:00:00,,"{'1. open': '93.5890', '2. high': '93.7000', '3. low': '93.5890', '4. close': '93.6500', '5. volume': '45607'}"
2023-02-27 16:00:00,,"{'1. open': '93.7800', '2. high': '93.8000', '3. low': '93.5600', '4. close': '93.5900', '5. volume': '5348780'}"
2023-02-27 15:00:00,,"{'1. open': '93.4000', '2. high': '93.8300', '3. low': '93.1400', '4. close': '93.7800', '5. volume': '7107662'}"
2023-02-27 14:00:00,,"{'1. open': '93.7500', '2. high': '93.9790', '3. low': '93.3400', '4. close': '93.4000', '5. volume': '3293616'}"
2023-02-27 13:00:00,,"{'1. open': '94.0950', '2. high': '94.1100', '3. low': '93.4500', '4. close': '93.7450', '5. volume': '3088513'}"
2023-02-27 12:00:00,,"{'1. open': '93.7000', '2. high': '94.1900', '3. low': '93.3800', '4. close': '94.0950', '5. volume': '3398014'}"
2023-02-27 11:00:00,,"{'1. open': '93.6950', '2. high': '93.8640', '3. low': '93.4400', '4. close': '93.6950', '5. volume': '4312564'}"
2023-02-27 10:00:00,,"{'1. open': '94.3000', '2. high': '94.7800', '3. low': '93.2300', '4. close': '93.6920', '5. volume': '7115162'}"
2023-02-27 09:00:00,,"{'1. open': '94.5400', '2. high': '94.7300', '3. low': '93.6200', '4. close': '94.3000', '5. volume': '5534131'}"
2023-02-27 08:00:00,,"{'1. open': '93.9200', '2. high': '94.7700', '3. low': '93.2670', '4. close': '94.5300', '5. volume': '296494'}"
2023-02-27 07:00:00,,"{'1. open': '93.8600', '2. high': '94.2300', '3. low': '93.8300', '4. close': '94.0700', '5. volume': '63693'}"
