,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-29 19:00:00,,"{'1. open': '2.9000', '2. high': '2.9000', '3. low': '2.9000', '4. close': '2.9000', '5. volume': '260980'}"
2023-09-29 18:00:00,,"{'1. open': '2.9000', '2. high': '2.9000', '3. low': '2.8600', '4. close': '2.9000', '5. volume': '262235'}"
2023-09-29 17:00:00,,"{'1. open': '2.9000', '2. high': '2.9000', '3. low': '2.9000', '4. close': '2.9000', '5. volume': '776700'}"
2023-09-29 16:00:00,,"{'1. open': '2.9100', '2. high': '2.9100', '3. low': '2.8510', '4. close': '2.9000', '5. volume': '850002'}"
2023-09-29 15:00:00,,"{'1. open': '2.8700', '2. high': '2.9200', '3. low': '2.8650', '4. close': '2.9100', '5. volume': '804013'}"
2023-09-29 14:00:00,,"{'1. open': '2.8600', '2. high': '2.8800', '3. low': '2.8400', '4. close': '2.8700', '5. volume': '277077'}"
2023-09-29 13:00:00,,"{'1. open': '2.9450', '2. high': '2.9450', '3. low': '2.8600', '4. close': '2.8600', '5. volume': '349473'}"
2023-09-29 12:00:00,,"{'1. open': '2.9810', '2. high': '2.9950', '3. low': '2.9400', '4. close': '2.9450', '5. volume': '207436'}"
2023-09-29 11:00:00,,"{'1. open': '2.9900', '2. high': '3.0150', '3. low': '2.9550', '4. close': '2.9850', '5. volume': '216569'}"
2023-09-29 10:00:00,,"{'1. open': '3.1000', '2. high': '3.1200', '3. low': '2.9900', '4. close': '2.9900', '5. volume': '259091'}"
2023-09-29 09:00:00,,"{'1. open': '2.9800', '2. high': '3.1720', '3. low': '2.9800', '4. close': '3.0900', '5. volume': '373848'}"
2023-09-29 08:00:00,,"{'1. open': '3.0700', '2. high': '3.1100', '3. low': '2.9900', '4. close': '3.0700', '5. volume': '2627'}"
2023-09-28 19:00:00,,"{'1. open': '3.0500', '2. high': '3.0600', '3. low': '3.0500', '4. close': '3.0600', '5. volume': '117269'}"
2023-09-28 18:00:00,,"{'1. open': '3.0500', '2. high': '3.0700', '3. low': '3.0500', '4. close': '3.0700', '5. volume': '117266'}"
2023-09-28 17:00:00,,"{'1. open': '2.9300', '2. high': '3.0700', '3. low': '2.9300', '4. close': '3.0700', '5. volume': '84'}"
2023-09-28 16:00:00,,"{'1. open': '3.0450', '2. high': '3.0500', '3. low': '2.9000', '4. close': '2.9000', '5. volume': '422301'}"
2023-09-28 15:00:00,,"{'1. open': '2.9900', '2. high': '3.0500', '3. low': '2.9900', '4. close': '3.0450', '5. volume': '495146'}"
2023-09-28 14:00:00,,"{'1. open': '3.0050', '2. high': '3.0300', '3. low': '2.9800', '4. close': '2.9800', '5. volume': '170108'}"
2023-09-28 13:00:00,,"{'1. open': '3.0150', '2. high': '3.0200', '3. low': '2.9800', '4. close': '3.0050', '5. volume': '196972'}"
2023-09-28 12:00:00,,"{'1. open': '3.0350', '2. high': '3.0700', '3. low': '3.0100', '4. close': '3.0150', '5. volume': '302779'}"
2023-09-28 11:00:00,,"{'1. open': '2.9350', '2. high': '3.0400', '3. low': '2.9300', '4. close': '3.0300', '5. volume': '248864'}"
2023-09-28 10:00:00,,"{'1. open': '2.9900', '2. high': '2.9990', '3. low': '2.9000', '4. close': '2.9350', '5. volume': '251109'}"
2023-09-28 09:00:00,,"{'1. open': '3.0100', '2. high': '3.0100', '3. low': '2.9150', '4. close': '2.9900', '5. volume': '149206'}"
2023-09-28 07:00:00,,"{'1. open': '2.9900', '2. high': '2.9900', '3. low': '2.9900', '4. close': '2.9900', '5. volume': '2'}"
2023-09-27 19:00:00,,"{'1. open': '2.9300', '2. high': '2.9400', '3. low': '2.9300', '4. close': '2.9400', '5. volume': '266515'}"
2023-09-27 18:00:00,,"{'1. open': '2.9900', '2. high': '2.9900', '3. low': '2.9300', '4. close': '2.9900', '5. volume': '266614'}"
2023-09-27 16:00:00,,"{'1. open': '2.9300', '2. high': '2.9900', '3. low': '2.8900', '4. close': '2.9900', '5. volume': '838165'}"
2023-09-27 15:00:00,,"{'1. open': '2.9500', '2. high': '2.9700', '3. low': '2.9200', '4. close': '2.9300', '5. volume': '472053'}"
2023-09-27 14:00:00,,"{'1. open': '2.9250', '2. high': '2.9600', '3. low': '2.9100', '4. close': '2.9500', '5. volume': '183385'}"
2023-09-27 13:00:00,,"{'1. open': '2.9150', '2. high': '2.9300', '3. low': '2.8800', '4. close': '2.9200', '5. volume': '218198'}"
2023-09-27 12:00:00,,"{'1. open': '2.9250', '2. high': '2.9550', '3. low': '2.9000', '4. close': '2.9150', '5. volume': '238833'}"
2023-09-27 11:00:00,,"{'1. open': '2.9400', '2. high': '2.9700', '3. low': '2.9150', '4. close': '2.9250', '5. volume': '188450'}"
2023-09-27 10:00:00,,"{'1. open': '2.9400', '2. high': '2.9800', '3. low': '2.9050', '4. close': '2.9450', '5. volume': '280261'}"
2023-09-27 09:00:00,,"{'1. open': '2.8700', '2. high': '2.9400', '3. low': '2.8400', '4. close': '2.9400', '5. volume': '127925'}"
2023-09-27 08:00:00,,"{'1. open': '2.9000', '2. high': '2.9800', '3. low': '2.8400', '4. close': '2.8400', '5. volume': '2237'}"
2023-09-27 07:00:00,,"{'1. open': '2.8600', '2. high': '2.9200', '3. low': '2.8600', '4. close': '2.9000', '5. volume': '690'}"
2023-09-26 19:00:00,,"{'1. open': '2.8600', '2. high': '2.8700', '3. low': '2.8600', '4. close': '2.8700', '5. volume': '244925'}"
2023-09-26 18:00:00,,"{'1. open': '2.8690', '2. high': '2.8700', '3. low': '2.8600', '4. close': '2.8700', '5. volume': '244975'}"
2023-09-26 17:00:00,,"{'1. open': '2.8600', '2. high': '2.8600', '3. low': '2.8600', '4. close': '2.8600', '5. volume': '292'}"
2023-09-26 16:00:00,,"{'1. open': '2.8500', '2. high': '2.8600', '3. low': '2.8500', '4. close': '2.8600', '5. volume': '768102'}"
2023-09-26 15:00:00,,"{'1. open': '2.8650', '2. high': '2.9000', '3. low': '2.8500', '4. close': '2.8500', '5. volume': '894805'}"
2023-09-26 14:00:00,,"{'1. open': '2.9000', '2. high': '2.9000', '3. low': '2.8600', '4. close': '2.8600', '5. volume': '278232'}"
2023-09-26 13:00:00,,"{'1. open': '2.9250', '2. high': '2.9300', '3. low': '2.8700', '4. close': '2.8930', '5. volume': '313792'}"
2023-09-26 12:00:00,,"{'1. open': '2.9020', '2. high': '2.9400', '3. low': '2.9000', '4. close': '2.9250', '5. volume': '187248'}"
2023-09-26 11:00:00,,"{'1. open': '2.9750', '2. high': '2.9790', '3. low': '2.9050', '4. close': '2.9050', '5. volume': '273700'}"
