,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2022-10-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-31 19:00:00,,"{'1. open': '94.7400', '2. high': '94.8900', '3. low': '94.7200', '4. close': '94.8000', '5. volume': '13581'}"
2022-10-31 18:00:00,,"{'1. open': '94.6300', '2. high': '94.7600', '3. low': '94.5700', '4. close': '94.7500', '5. volume': '8496'}"
2022-10-31 17:00:00,,"{'1. open': '94.6310', '2. high': '94.6900', '3. low': '94.5300', '4. close': '94.5800', '5. volume': '17437'}"
2022-10-31 16:00:00,,"{'1. open': '94.5100', '2. high': '94.7600', '3. low': '94.4100', '4. close': '94.7000', '5. volume': '5969502'}"
2022-10-31 15:00:00,,"{'1. open': '94.6300', '2. high': '94.7700', '3. low': '94.1300', '4. close': '94.5200', '5. volume': '4546512'}"
2022-10-31 14:00:00,,"{'1. open': '94.9200', '2. high': '94.9600', '3. low': '94.5400', '4. close': '94.6200', '5. volume': '1512294'}"
2022-10-31 13:00:00,,"{'1. open': '94.5600', '2. high': '95.1900', '3. low': '94.3500', '4. close': '94.9300', '5. volume': '1775332'}"
2022-10-31 12:00:00,,"{'1. open': '94.7250', '2. high': '95.1300', '3. low': '94.5300', '4. close': '94.5500', '5. volume': '2100485'}"
2022-10-31 11:00:00,,"{'1. open': '94.3600', '2. high': '95.1200', '3. low': '94.2800', '4. close': '94.7300', '5. volume': '2529403'}"
2022-10-31 10:00:00,,"{'1. open': '94.5600', '2. high': '94.8100', '3. low': '93.9800', '4. close': '94.3650', '5. volume': '3154503'}"
2022-10-31 09:00:00,,"{'1. open': '95.2700', '2. high': '96.0300', '3. low': '94.1300', '4. close': '94.5750', '5. volume': '3183608'}"
2022-10-31 08:00:00,,"{'1. open': '95.3500', '2. high': '96.2900', '3. low': '95.1000', '4. close': '95.2400', '5. volume': '67128'}"
2022-10-31 07:00:00,,"{'1. open': '95.3300', '2. high': '95.5900', '3. low': '95.3300', '4. close': '95.4100', '5. volume': '11182'}"
2022-10-31 06:00:00,,"{'1. open': '95.4200', '2. high': '95.4200', '3. low': '94.9700', '4. close': '95.2800', '5. volume': '15794'}"
2022-10-31 05:00:00,,"{'1. open': '95.4500', '2. high': '95.4600', '3. low': '95.3000', '4. close': '95.4500', '5. volume': '2815'}"
2022-10-31 04:00:00,,"{'1. open': '96.3500', '2. high': '96.4500', '3. low': '95.2900', '4. close': '95.4100', '5. volume': '13785'}"
