,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-05-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-05-31 19:00:00,,"{'1. open': '327.8150', '2. high': '328.8110', '3. low': '327.8130', '4. close': '328.6520', '5. volume': '14589'}"
2023-05-31 18:00:00,,"{'1. open': '327.8550', '2. high': '328.5610', '3. low': '327.4940', '4. close': '328.0540', '5. volume': '9893'}"
2023-05-31 17:00:00,,"{'1. open': '330.5090', '2. high': '330.5170', '3. low': '327.4740', '4. close': '328.3730', '5. volume': '340736'}"
2023-05-31 16:00:00,,"{'1. open': '328.0750', '2. high': '329.7090', '3. low': '322.3350', '4. close': '327.5050', '5. volume': '31110745'}"
2023-05-31 15:00:00,,"{'1. open': '329.0920', '2. high': '330.6170', '3. low': '327.7730', '4. close': '328.0640', '5. volume': '6148506'}"
2023-05-31 14:00:00,,"{'1. open': '329.8340', '2. high': '330.4170', '3. low': '328.7510', '4. close': '329.1070', '5. volume': '2066835'}"
2023-05-31 13:00:00,,"{'1. open': '328.3140', '2. high': '330.1180', '3. low': '328.0620', '4. close': '329.8500', '5. volume': '2329915'}"
2023-05-31 12:00:00,,"{'1. open': '329.0230', '2. high': '329.3700', '3. low': '326.6350', '4. close': '328.2730', '5. volume': '3235248'}"
2023-05-31 11:00:00,,"{'1. open': '330.9140', '2. high': '330.9860', '3. low': '328.2120', '4. close': '329.0220', '5. volume': '3366925'}"
2023-05-31 10:00:00,,"{'1. open': '334.0220', '2. high': '334.2890', '3. low': '330.1480', '4. close': '330.8580', '5. volume': '4576771'}"
2023-05-31 09:00:00,,"{'1. open': '331.2980', '2. high': '335.2370', '3. low': '330.5770', '4. close': '334.0010', '5. volume': '4613867'}"
2023-05-31 08:00:00,,"{'1. open': '332.2960', '2. high': '334.5540', '3. low': '329.0000', '4. close': '331.2770', '5. volume': '126430'}"
2023-05-31 07:00:00,,"{'1. open': '332.0260', '2. high': '332.9920', '3. low': '331.3550', '4. close': '331.6660', '5. volume': '67904'}"
2023-05-31 06:00:00,,"{'1. open': '331.6870', '2. high': '332.2040', '3. low': '330.9060', '4. close': '332.1450', '5. volume': '14406'}"
2023-05-31 05:00:00,,"{'1. open': '331.5670', '2. high': '332.4430', '3. low': '331.5650', '4. close': '331.7360', '5. volume': '12669'}"
2023-05-31 04:00:00,,"{'1. open': '330.1000', '2. high': '332.3030', '3. low': '329.7690', '4. close': '331.5260', '5. volume': '33073'}"
2023-05-30 19:00:00,,"{'1. open': '330.9090', '2. high': '332.3830', '3. low': '330.9060', '4. close': '332.3750', '5. volume': '21692'}"
