,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2022-12-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-12-30 19:00:00,,"{'1. open': '5.5900', '2. high': '5.5900', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '1203'}"
2022-12-30 18:00:00,,"{'1. open': '5.5800', '2. high': '5.5800', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '448'}"
2022-12-30 17:00:00,,"{'1. open': '5.5700', '2. high': '5.5700', '3. low': '5.5700', '4. close': '5.5700', '5. volume': '200'}"
2022-12-30 16:00:00,,"{'1. open': '5.5800', '2. high': '5.5800', '3. low': '5.5700', '4. close': '5.5800', '5. volume': '1819508'}"
2022-12-30 15:00:00,,"{'1. open': '5.5400', '2. high': '5.6100', '3. low': '5.5400', '4. close': '5.5700', '5. volume': '964278'}"
2022-12-30 14:00:00,,"{'1. open': '5.5300', '2. high': '5.5400', '3. low': '5.4950', '4. close': '5.5400', '5. volume': '224972'}"
2022-12-30 13:00:00,,"{'1. open': '5.5500', '2. high': '5.5500', '3. low': '5.4900', '4. close': '5.5300', '5. volume': '158248'}"
2022-12-30 12:00:00,,"{'1. open': '5.5550', '2. high': '5.5800', '3. low': '5.5400', '4. close': '5.5450', '5. volume': '122506'}"
2022-12-30 11:00:00,,"{'1. open': '5.5200', '2. high': '5.5550', '3. low': '5.4900', '4. close': '5.5500', '5. volume': '163957'}"
2022-12-30 10:00:00,,"{'1. open': '5.5250', '2. high': '5.5800', '3. low': '5.4900', '4. close': '5.5200', '5. volume': '206318'}"
2022-12-30 09:00:00,,"{'1. open': '5.5500', '2. high': '5.6200', '3. low': '5.4900', '4. close': '5.5300', '5. volume': '184476'}"
2022-12-30 08:00:00,,"{'1. open': '5.5500', '2. high': '5.5900', '3. low': '5.5500', '4. close': '5.5900', '5. volume': '700'}"
2022-12-30 07:00:00,,"{'1. open': '5.6500', '2. high': '5.6500', '3. low': '5.5600', '4. close': '5.5600', '5. volume': '721'}"
2022-12-29 19:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.6100', '4. close': '5.6100', '5. volume': '3226'}"
2022-12-29 17:00:00,,"{'1. open': '5.5800', '2. high': '5.5800', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '200'}"
2022-12-29 16:00:00,,"{'1. open': '5.5900', '2. high': '5.6300', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '181674'}"
2022-12-29 15:00:00,,"{'1. open': '5.5750', '2. high': '5.6100', '3. low': '5.5400', '4. close': '5.5900', '5. volume': '425608'}"
2022-12-29 14:00:00,,"{'1. open': '5.5900', '2. high': '5.6200', '3. low': '5.5550', '4. close': '5.5750', '5. volume': '323270'}"
2022-12-29 13:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.5600', '4. close': '5.5850', '5. volume': '126379'}"
2022-12-29 12:00:00,,"{'1. open': '5.6000', '2. high': '5.6150', '3. low': '5.5420', '4. close': '5.6050', '5. volume': '146052'}"
2022-12-29 11:00:00,,"{'1. open': '5.5700', '2. high': '5.6350', '3. low': '5.5400', '4. close': '5.6100', '5. volume': '212255'}"
2022-12-29 10:00:00,,"{'1. open': '5.5400', '2. high': '5.6100', '3. low': '5.5300', '4. close': '5.5800', '5. volume': '366359'}"
2022-12-29 09:00:00,,"{'1. open': '5.4100', '2. high': '5.5700', '3. low': '5.3300', '4. close': '5.5350', '5. volume': '272323'}"
2022-12-29 08:00:00,,"{'1. open': '5.4400', '2. high': '5.4400', '3. low': '5.4000', '4. close': '5.4260', '5. volume': '4323'}"
2022-12-29 07:00:00,,"{'1. open': '5.4500', '2. high': '5.4500', '3. low': '5.4400', '4. close': '5.4400', '5. volume': '1100'}"
2022-12-28 18:00:00,,"{'1. open': '5.4800', '2. high': '5.4800', '3. low': '5.4700', '4. close': '5.4700', '5. volume': '1400'}"
2022-12-28 17:00:00,,"{'1. open': '5.4700', '2. high': '5.4800', '3. low': '5.4600', '4. close': '5.4800', '5. volume': '587'}"
2022-12-28 16:00:00,,"{'1. open': '5.4600', '2. high': '5.4700', '3. low': '5.4500', '4. close': '5.4500', '5. volume': '311023'}"
2022-12-28 15:00:00,,"{'1. open': '5.5150', '2. high': '5.5150', '3. low': '5.4100', '4. close': '5.4550', '5. volume': '778350'}"
2022-12-28 14:00:00,,"{'1. open': '5.5050', '2. high': '5.5500', '3. low': '5.4700', '4. close': '5.5200', '5. volume': '232989'}"
2022-12-28 13:00:00,,"{'1. open': '5.5350', '2. high': '5.5600', '3. low': '5.4700', '4. close': '5.5050', '5. volume': '245732'}"
2022-12-28 12:00:00,,"{'1. open': '5.4550', '2. high': '5.5450', '3. low': '5.4400', '4. close': '5.5400', '5. volume': '241908'}"
2022-12-28 11:00:00,,"{'1. open': '5.4600', '2. high': '5.5300', '3. low': '5.4300', '4. close': '5.4600', '5. volume': '212307'}"
2022-12-28 10:00:00,,"{'1. open': '5.5310', '2. high': '5.5700', '3. low': '5.4300', '4. close': '5.4600', '5. volume': '446369'}"
2022-12-28 09:00:00,,"{'1. open': '5.7800', '2. high': '5.7800', '3. low': '5.5300', '4. close': '5.5300', '5. volume': '324429'}"
2022-12-28 08:00:00,,"{'1. open': '5.7800', '2. high': '5.8100', '3. low': '5.7200', '4. close': '5.7200', '5. volume': '3109'}"
2022-12-28 07:00:00,,"{'1. open': '5.8000', '2. high': '5.8000', '3. low': '5.8000', '4. close': '5.8000', '5. volume': '100'}"
2022-12-28 06:00:00,,"{'1. open': '5.8000', '2. high': '5.8000', '3. low': '5.7900', '4. close': '5.7900', '5. volume': '300'}"
2022-12-27 19:00:00,,"{'1. open': '5.8200', '2. high': '5.8200', '3. low': '5.8200', '4. close': '5.8200', '5. volume': '100'}"
2022-12-27 17:00:00,,"{'1. open': '5.8000', '2. high': '5.8100', '3. low': '5.7900', '4. close': '5.8100', '5. volume': '666'}"
2022-12-27 16:00:00,,"{'1. open': '5.7900', '2. high': '5.8000', '3. low': '5.7600', '4. close': '5.8000', '5. volume': '313266'}"
2022-12-27 15:00:00,,"{'1. open': '5.7550', '2. high': '5.8000', '3. low': '5.7450', '4. close': '5.7800', '5. volume': '532635'}"
2022-12-27 14:00:00,,"{'1. open': '5.7700', '2. high': '5.7800', '3. low': '5.6880', '4. close': '5.7550', '5. volume': '391655'}"
2022-12-27 13:00:00,,"{'1. open': '5.7550', '2. high': '5.8000', '3. low': '5.7450', '4. close': '5.7650', '5. volume': '227206'}"
2022-12-27 12:00:00,,"{'1. open': '5.7700', '2. high': '5.7900', '3. low': '5.7400', '4. close': '5.7500', '5. volume': '237579'}"
2022-12-27 11:00:00,,"{'1. open': '5.7200', '2. high': '5.7750', '3. low': '5.7100', '4. close': '5.7700', '5. volume': '242847'}"
2022-12-27 10:00:00,,"{'1. open': '5.7650', '2. high': '5.8100', '3. low': '5.7030', '4. close': '5.7160', '5. volume': '306874'}"
2022-12-27 09:00:00,,"{'1. open': '5.8000', '2. high': '5.8140', '3. low': '5.6900', '4. close': '5.7600', '5. volume': '260526'}"
2022-12-27 08:00:00,,"{'1. open': '5.8000', '2. high': '5.8980', '3. low': '5.7850', '4. close': '5.7850', '5. volume': '2924'}"
2022-12-27 07:00:00,,"{'1. open': '5.7600', '2. high': '5.7700', '3. low': '5.7300', '4. close': '5.7700', '5. volume': '2859'}"
2022-12-27 06:00:00,,"{'1. open': '5.8800', '2. high': '5.8800', '3. low': '5.8800', '4. close': '5.8800', '5. volume': '600'}"
2022-12-27 05:00:00,,"{'1. open': '5.8500', '2. high': '5.8500', '3. low': '5.8500', '4. close': '5.8500', '5. volume': '449'}"
2022-12-23 18:00:00,,"{'1. open': '5.7300', '2. high': '5.7300', '3. low': '5.7300', '4. close': '5.7300', '5. volume': '500'}"
2022-12-23 17:00:00,,"{'1. open': '5.7200', '2. high': '5.7300', '3. low': '5.7200', '4. close': '5.7300', '5. volume': '9490'}"
2022-12-23 16:00:00,,"{'1. open': '5.7300', '2. high': '5.7300', '3. low': '5.7200', '4. close': '5.7200', '5. volume': '252557'}"
2022-12-23 15:00:00,,"{'1. open': '5.6950', '2. high': '5.7600', '3. low': '5.6950', '4. close': '5.7400', '5. volume': '621488'}"
2022-12-23 14:00:00,,"{'1. open': '5.7000', '2. high': '5.7100', '3. low': '5.6550', '4. close': '5.6950', '5. volume': '143472'}"
2022-12-23 13:00:00,,"{'1. open': '5.6750', '2. high': '5.7200', '3. low': '5.6600', '4. close': '5.7050', '5. volume': '155057'}"
2022-12-23 12:00:00,,"{'1. open': '5.6750', '2. high': '5.7200', '3. low': '5.6700', '4. close': '5.6800', '5. volume': '126152'}"
2022-12-23 11:00:00,,"{'1. open': '5.7000', '2. high': '5.7300', '3. low': '5.6500', '4. close': '5.6800', '5. volume': '182744'}"
2022-12-23 10:00:00,,"{'1. open': '5.6000', '2. high': '5.7900', '3. low': '5.6000', '4. close': '5.7000', '5. volume': '401735'}"
2022-12-23 09:00:00,,"{'1. open': '5.6100', '2. high': '5.6410', '3. low': '5.5300', '4. close': '5.5900', '5. volume': '225907'}"
2022-12-23 08:00:00,,"{'1. open': '5.5400', '2. high': '5.6100', '3. low': '5.5400', '4. close': '5.6100', '5. volume': '2887'}"
2022-12-23 07:00:00,,"{'1. open': '5.5400', '2. high': '5.5400', '3. low': '5.5400', '4. close': '5.5400', '5. volume': '1028'}"
2022-12-22 17:00:00,,"{'1. open': '5.4800', '2. high': '5.4800', '3. low': '5.4800', '4. close': '5.4800', '5. volume': '437'}"
2022-12-22 16:00:00,,"{'1. open': '5.5100', '2. high': '5.5100', '3. low': '5.5000', '4. close': '5.5000', '5. volume': '268674'}"
2022-12-22 15:00:00,,"{'1. open': '5.4350', '2. high': '5.5200', '3. low': '5.4100', '4. close': '5.5050', '5. volume': '729706'}"
2022-12-22 14:00:00,,"{'1. open': '5.3050', '2. high': '5.4400', '3. low': '5.2700', '4. close': '5.4350', '5. volume': '331877'}"
2022-12-22 13:00:00,,"{'1. open': '5.3050', '2. high': '5.3400', '3. low': '5.2800', '4. close': '5.3100', '5. volume': '318725'}"
2022-12-22 12:00:00,,"{'1. open': '5.3700', '2. high': '5.3750', '3. low': '5.2900', '4. close': '5.3000', '5. volume': '414120'}"
2022-12-22 11:00:00,,"{'1. open': '5.3800', '2. high': '5.4300', '3. low': '5.3600', '4. close': '5.3800', '5. volume': '177110'}"
2022-12-22 10:00:00,,"{'1. open': '5.4600', '2. high': '5.4650', '3. low': '5.3650', '4. close': '5.3800', '5. volume': '344707'}"
2022-12-22 09:00:00,,"{'1. open': '5.6000', '2. high': '5.6100', '3. low': '5.4600', '4. close': '5.4600', '5. volume': '176322'}"
2022-12-22 08:00:00,,"{'1. open': '5.7000', '2. high': '5.7000', '3. low': '5.5300', '4. close': '5.5800', '5. volume': '24108'}"
2022-12-22 07:00:00,,"{'1. open': '5.6400', '2. high': '5.6900', '3. low': '5.6400', '4. close': '5.6900', '5. volume': '461'}"
2022-12-21 19:00:00,,"{'1. open': '5.6200', '2. high': '5.6200', '3. low': '5.6000', '4. close': '5.6000', '5. volume': '600'}"
2022-12-21 18:00:00,,"{'1. open': '5.6000', '2. high': '5.6000', '3. low': '5.6000', '4. close': '5.6000', '5. volume': '268'}"
2022-12-21 17:00:00,,"{'1. open': '5.6000', '2. high': '5.6200', '3. low': '5.6000', '4. close': '5.6200', '5. volume': '898'}"
2022-12-21 16:00:00,,"{'1. open': '5.5800', '2. high': '5.6200', '3. low': '5.5800', '4. close': '5.6200', '5. volume': '312013'}"
2022-12-21 15:00:00,,"{'1. open': '5.6700', '2. high': '5.6700', '3. low': '5.5700', '4. close': '5.5700', '5. volume': '608921'}"
2022-12-21 14:00:00,,"{'1. open': '5.6650', '2. high': '5.6800', '3. low': '5.6400', '4. close': '5.6600', '5. volume': '230307'}"
2022-12-21 13:00:00,,"{'1. open': '5.6250', '2. high': '5.6700', '3. low': '5.5850', '4. close': '5.6650', '5. volume': '213966'}"
2022-12-21 12:00:00,,"{'1. open': '5.6000', '2. high': '5.6400', '3. low': '5.5800', '4. close': '5.6200', '5. volume': '127195'}"
2022-12-21 11:00:00,,"{'1. open': '5.6100', '2. high': '5.6200', '3. low': '5.5700', '4. close': '5.6000', '5. volume': '166463'}"
2022-12-21 10:00:00,,"{'1. open': '5.5000', '2. high': '5.6400', '3. low': '5.4950', '4. close': '5.6050', '5. volume': '328711'}"
2022-12-21 09:00:00,,"{'1. open': '5.7200', '2. high': '5.8000', '3. low': '5.4800', '4. close': '5.5050', '5. volume': '283218'}"
2022-12-21 08:00:00,,"{'1. open': '5.7200', '2. high': '5.8000', '3. low': '5.7000', '4. close': '5.8000', '5. volume': '8166'}"
2022-12-21 07:00:00,,"{'1. open': '5.7000', '2. high': '5.7500', '3. low': '5.7000', '4. close': '5.7500', '5. volume': '1554'}"
2022-12-20 16:00:00,,"{'1. open': '5.5900', '2. high': '5.5900', '3. low': '5.5700', '4. close': '5.5700', '5. volume': '150881'}"
2022-12-20 15:00:00,,"{'1. open': '5.6050', '2. high': '5.6200', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '425552'}"
2022-12-20 14:00:00,,"{'1. open': '5.6650', '2. high': '5.6650', '3. low': '5.5800', '4. close': '5.6000', '5. volume': '284877'}"
2022-12-20 13:00:00,,"{'1. open': '5.6300', '2. high': '5.7100', '3. low': '5.6200', '4. close': '5.6650', '5. volume': '348606'}"
2022-12-20 12:00:00,,"{'1. open': '5.6280', '2. high': '5.6400', '3. low': '5.5750', '4. close': '5.6300', '5. volume': '229261'}"
2022-12-20 11:00:00,,"{'1. open': '5.6500', '2. high': '5.6600', '3. low': '5.5800', '4. close': '5.6300', '5. volume': '366933'}"
2022-12-20 10:00:00,,"{'1. open': '5.5800', '2. high': '5.7300', '3. low': '5.5800', '4. close': '5.6500', '5. volume': '716290'}"
2022-12-20 09:00:00,,"{'1. open': '5.4200', '2. high': '5.5950', '3. low': '5.3700', '4. close': '5.5750', '5. volume': '221000'}"
2022-12-20 08:00:00,,"{'1. open': '5.3730', '2. high': '5.5400', '3. low': '5.3730', '4. close': '5.4500', '5. volume': '2298'}"
2022-12-20 07:00:00,,"{'1. open': '5.4000', '2. high': '5.4500', '3. low': '5.4000', '4. close': '5.4500', '5. volume': '1572'}"
2022-12-20 05:00:00,,"{'1. open': '5.4200', '2. high': '5.4200', '3. low': '5.4200', '4. close': '5.4200', '5. volume': '1483'}"
2022-12-20 04:00:00,,"{'1. open': '5.4200', '2. high': '5.4200', '3. low': '5.4200', '4. close': '5.4200', '5. volume': '100'}"
2022-12-19 19:00:00,,"{'1. open': '5.4300', '2. high': '5.4300', '3. low': '5.4200', '4. close': '5.4200', '5. volume': '425'}"
2022-12-19 18:00:00,,"{'1. open': '5.4400', '2. high': '5.4400', '3. low': '5.4400', '4. close': '5.4400', '5. volume': '1122'}"
