High;Low;Close;Volume
335.5900;328.3000;330.1100;23153602
333.4600;327.4100;332.0600;18338523
336.1400;330.6000;332.6400;22158048
333.8300;326.3600;327.7300;21085695
333.6299;328.7200;331.1600;19313098
332.8200;329.1400;332.4200;20063246
331.1000;327.6700;328.3900;20557094
330.3000;323.1800;329.8200;19891180
329.1900;316.3000;327.2600;25673630
319.9800;314.9000;319.3600;16965629
320.0400;314.0000;318.9550;20720144
321.3900;311.2150;313.3900;21033492
321.8880;315.1800;321.8000;20570006
319.4700;314.9800;315.7500;24147298
315.4800;309.4500;313.6400;19683564
314.2990;309.6900;312.7900;19410082
315.8800;310.0200;312.1400;26297573
317.6700;315.0000;317.5400;17835964
321.4500;316.1500;317.0100;21447887
325.3499;315.0000;319.5300;35560362
329.5900;320.5100;320.7700;21436525
329.3900;324.5100;328.6500;16514487
330.4000;326.3600;329.0600;16834208
337.3975;329.6500;330.2200;37679792
340.8600;336.5700;338.7000;20267048
336.8500;331.1700;336.0600;16544412
336.7900;331.4800;331.7700;17565482
338.4200;335.4300;337.9400;16583324
336.1600;329.4600;334.2700;19548165
333.0800;329.0300;329.9100;18380995
334.4600;330.1800;332.8800;17535773
334.8500;328.6600;333.5500;18553859
331.9900;326.7800;328.6600;14942024
330.9099;326.7800;327.7600;26410954
329.8100;326.4450;328.7900;15222110
328.9835;321.8800;328.4100;19284590
326.1500;321.7220;323.7000;14808482
325.3600;318.8001;322.9800;21684104
332.9800;319.9600;319.9700;23281434
329.2000;323.4600;327.0000;21166382
326.0750;321.4600;322.4600;16102024
322.7700;317.0400;321.8800;24039956
318.3800;311.5508;316.4800;24755012
321.8700;316.2100;316.8800;21257161
324.4200;319.8035;320.4000;20698864
325.0900;320.9034;321.8600;16966285
324.0600;320.0800;324.0400;18836139
322.4100;319.2100;321.0100;24355491
328.2600;321.1800;322.9300;20113725
327.1100;321.0499;322.2300;22373268
328.7500;323.0000;326.0500;22327574
331.1100;327.5200;330.1100;17741526
335.1400;327.2400;327.7800;23741484
329.8800;325.9500;326.6600;18360352
333.6300;326.3551;327.5000;27761257
338.5400;333.7000;336.3400;18381253
337.6950;333.3600;335.9200;25446022
340.0100;333.1700;338.3700;28484868
341.3300;329.0500;330.7200;39635262
344.6700;333.1100;337.7700;58383702
351.8900;345.0700;350.9800;41637739
346.9200;342.3100;345.1100;26719207
350.3000;339.8300;343.7700;69405382
357.9700;345.3700;346.8700;33778395
362.4600;352.4350;355.0800;39732901
366.7800;342.1700;359.4900;64872705
346.9900;342.2000;345.7300;20363927
351.4300;344.3100;345.2400;28352729
343.7400;339.0200;342.6600;20567159
341.6520;335.6700;337.2000;29995262
332.8600;327.0000;332.4700;26698218
335.2300;327.5900;331.8300;32791449
341.7900;337.0000;337.2200;21214824
342.9900;335.5000;341.2700;28195534
341.6500;334.7276;338.1500;18172378
340.9000;336.5710;337.9900;12508692
342.7300;337.2000;340.5400;26832756
336.1100;332.6200;335.0500;16997042
337.9800;333.8100;335.8500;20259523
336.1500;329.3000;334.5700;24354110
336.1100;328.4900;328.6000;21520582
337.9600;333.4500;335.0200;23146901
340.1200;333.3400;339.7100;23556764
337.7300;332.0700;333.5600;25117799
342.0800;335.8600;338.0500;26375407
351.4700;341.9500;342.3300;46551985
349.8400;337.2000;348.1000;38899075
339.0400;332.8100;337.3400;26003791
336.9800;330.3900;334.2900;22951279
332.0999;325.1600;331.8500;24306753
329.9900;324.4100;326.7900;22528950
326.6400;323.3500;325.2600;23277708
334.4900;322.5000;323.3800;40717129
335.3700;332.1700;333.6800;20396223
338.5599;334.6601;335.9400;21307053
337.5000;332.5500;335.4000;25873769
333.5300;324.7200;332.5800;26773851
335.9400;327.3300;328.3900;45546858
335.7400;330.5200;331.2100;29503070
333.4000;323.8800;332.8900;36630633
326.9000;320.0000;325.9200;43301743
316.5000;312.6100;313.8500;23384887
322.7200;315.2500;315.2600;30797173
322.5900;318.0100;321.1800;24115664
318.7500;316.3700;318.3400;27546701
319.0400;313.7200;318.5200;27275991
314.4300;310.7400;314.0000;24315012
313.7100;309.8300;311.7400;26730347
309.9050;307.5900;309.4600;16336547
310.6500;306.6000;308.9700;19774696
311.1200;306.2601;310.1100;31680179
313.0000;307.6700;312.3100;30078044
310.0400;306.3100;307.0000;21340829
310.2000;306.0900;308.6500;21318613
311.9700;304.2700;310.6500;28197052
307.7626;303.4000;305.4100;22519907
308.6100;304.0900;304.4000;22360754
309.1800;303.9100;305.4100;26404431
308.6000;305.1500;305.5600;21294115
308.9300;303.3100;307.2600;36469613
305.2000;295.2500;304.8300;46462638
299.5700;292.7300;295.3700;64481117
281.6000;275.3700;275.4200;45772236
284.9500;278.7200;281.7700;26611014
286.2700;283.0608;285.7600;21676387
289.0300;285.0800;286.1100;23244363
289.0500;284.5400;288.4500;17150271
291.7550;287.0100;288.3700;20161845
291.6000;286.1600;288.8000;23791151
288.4800;283.6900;286.1400;20987917
289.9000;283.1700;289.8400;24222678
287.0100;281.9600;283.4900;27403432
285.9800;281.6400;282.8300;27276589
289.6000;284.7100;289.3900;23102994
292.0800;282.0300;291.6000;29770334
287.1500;282.9200;284.3400;22064770
290.4499;285.6700;287.1800;25824299
288.2700;283.9500;287.2300;24883342
289.2700;283.0000;288.3000;32765976
284.4600;281.4800;284.0500;25053410
281.1398;278.4100;280.5100;25087032
276.1400;272.0451;275.2300;21878647
281.4589;275.5200;276.3800;26840212
280.6300;275.2800;280.5700;28199962
281.0600;275.2000;277.6600;36610879
281.0400;272.1800;272.2900;34873330
275.0000;269.5191;273.7800;34558704
277.4800;269.8500;272.2300;43466649
283.3300;276.3201;279.4300;69527371
276.5600;263.2800;276.2000;54832140
266.4800;259.2100;265.4400;46028047
261.0700;255.8600;260.7900;33620293
257.9100;245.7300;253.9200;33339721
252.7900;247.6000;248.5900;28333930
259.5600;251.5800;252.3200;26653387
254.5417;250.8100;253.7000;17340217
257.6900;253.3900;254.1500;21473179
260.1200;255.9800;256.8700;24109849
255.6200;251.3900;255.2900;30760136
251.4000;245.6100;251.1100;24833646
250.9300;245.7900;246.2700;27565259
251.4900;248.7300;249.4200;22490950
252.8200;249.3900;250.1600;21190042
251.0000;248.1000;249.2200;24990905
256.8400;250.4800;254.7700;29219095
254.3400;250.3400;251.5100;22491056
255.4900;251.5900;252.6700;28397444
260.0900;256.0000;258.0600;30000055
266.7400;261.9000;262.1500;29603616
270.7300;266.1800;269.3200;28962163
274.9700;269.2800;272.1700;37047924
274.6000;267.1500;271.3200;44630921
264.0900;260.6620;263.1000;25818489
273.9800;262.8000;263.6200;42375102
276.7600;266.2100;266.7300;54686049
268.7750;260.0800;267.5600;50841365
258.3000;254.7800;256.7700;22517997
264.2000;257.1000;258.3500;29077256
264.6900;257.2500;264.6000;39940437
255.1800;245.4700;252.7500;31259912
247.9500;242.9450;247.8100;26541072
245.6000;242.2000;242.7100;25867365
249.8300;246.8300;248.1600;26498939
248.3100;242.0000;248.0000;33454491
243.3000;230.9000;240.6100;66526641
243.9500;240.4400;242.0400;40234444
245.1650;239.6500;242.5800;31933951
240.7400;234.5100;240.2200;35389809
235.5200;230.6800;231.9300;28623033
242.3800;235.5200;235.8100;30028692
240.9100;237.0900;240.3500;29831257
239.3700;234.9200;239.2300;21333265
239.9000;233.5600;238.5100;27269486
235.9500;231.1100;235.7700;28669331
231.3100;227.3300;228.8500;27033881
231.2366;226.4100;227.1200;27369784
225.7601;219.3500;224.9300;43613574
227.5500;221.7602;222.3100;39585623
232.8700;225.9600;229.1000;50623394
245.7500;237.4000;239.5800;25740036
239.9600;236.6600;239.8200;21938472
241.9200;235.6500;241.0100;19770693
239.7200;234.1700;234.5300;17457104
238.9300;235.8300;236.9600;16688648
238.8700;233.9428;238.7300;21206982
241.9900;233.8700;238.1900;28651664
245.6150;240.1100;244.4300;23690607
242.9100;238.4200;241.8000;25150802
245.2100;238.7100;240.4500;29696436
249.8400;243.5100;244.6900;86101994
254.2000;247.3400;249.0100;35568093
262.5880;254.3100;257.2200;35410933
263.9150;253.0700;256.9200;42196884
252.5400;247.1700;252.5100;30665069
248.3100;244.1600;245.4200;20609743
248.7400;243.0600;247.4000;22611757
246.1600;242.2050;244.3700;20481522
251.8600;243.7800;245.1200;22463727
253.8190;248.0600;250.2000;23435294
256.0600;249.6900;255.0200;21528520
256.1200;250.9156;254.6900;26041524
255.3300;239.8600;255.1400;47594239
242.7900;238.2100;240.3300;17956313
246.6500;240.8000;241.7600;24810271
248.7000;246.7300;247.4900;9200772
248.2800;244.2700;247.5800;19508462
245.3100;240.7100;245.0300;19665699
244.6700;241.1900;242.0500;26394700
243.7400;239.0300;241.2200;27613523
243.2500;237.6300;241.6800;23123544
243.8000;240.4200;241.7300;24093272
247.0000;240.0300;241.9700;31390117
243.9100;239.2100;241.5500;31123340
247.9900;241.9300;247.1100;34620246
243.3300;235.0000;242.9800;46268021
228.6327;224.3300;224.5100;27852910
231.6500;225.8400;228.8700;28192548
228.4100;221.2800;227.8700;33497979
221.5900;213.4310;221.3900;36789063
220.4100;213.9800;214.2500;36633922
231.3000;220.0400;220.1000;38407008
235.7400;227.3250;228.1700;30592271
234.9200;231.1500;232.1300;28357265
236.6000;226.0500;235.8700;40647724
233.6900;225.7800;226.7500;40424645
238.3000;230.0600;231.3200;82684846
251.0400;245.8300;250.6600;34775505
247.8400;241.2950;247.2500;24911212
243.0000;234.5000;242.1200;26299733
241.3100;234.8700;236.1500;21811015
239.6100;234.2900;236.4800;19985698
243.9300;235.3700;238.5000;26329591
238.9600;235.1350;237.5300;28142268
237.2400;228.3400;228.5600;30198588
236.1000;219.1300;234.2400;42551818
227.8600;223.9600;225.7500;21903937
229.0600;224.1100;225.4100;30473954
234.5590;226.7300;229.2500;29743608
241.3200;233.1700;234.2400;37769602
250.3400;246.0800;246.7900;20239886
250.5800;244.1000;249.2000;20347136
250.3600;244.9750;248.8800;34888416
241.6100;234.6600;240.7400;28880357
240.5400;232.7300;232.9000;35694832
239.9500;234.4100;237.5000;27484233
242.3300;234.7300;241.0700;29029679
241.8000;234.5000;236.4100;27018732
241.4500;236.9000;237.4500;27694190
241.1300;235.2000;237.9200;34176048
243.8600;237.5700;240.9800;30927092
247.6600;238.9000;238.9500;28625557
