High;Low;Close;Volume
4.2600;4.1400;4.2400;2277971
4.1900;4.0800;4.1400;1667287
4.1450;4.0500;4.1200;1423191
4.1500;4.0100;4.1000;2739793
4.0900;3.9150;3.9500;1784433
4.0900;3.9700;4.0200;2661731
4.2180;4.0700;4.0800;4219110
4.2400;4.0700;4.2200;4144062
3.9350;3.8000;3.8800;1990115
3.8900;3.7700;3.8100;2113884
4.1500;3.7600;3.8000;6166301
4.2200;4.1000;4.1700;1432500
4.4200;4.1100;4.1700;2382152
4.4600;4.3600;4.3800;1537309
4.4700;4.3700;4.4400;2071554
4.4600;4.2300;4.3900;2694247
4.2550;4.1500;4.1600;1548689
4.2700;4.0850;4.2600;1756042
4.2313;4.1100;4.1200;1676546
4.2199;4.0500;4.0900;2239064
4.2450;4.0800;4.1000;1576972
4.3300;4.1900;4.2000;2231773
4.2000;4.1092;4.1600;2137381
4.1800;4.1300;4.1600;4521907
4.2500;4.1400;4.2000;1897093
4.2900;4.0500;4.0800;2551988
4.3100;4.1000;4.3000;2015160
4.2686;4.0400;4.0600;2461303
4.2500;4.1500;4.2000;1274083
4.3200;4.1800;4.1900;1714459
4.3300;4.2400;4.2800;1614634
4.5050;4.2300;4.2300;2916562
4.4000;4.1400;4.3900;3247039
4.1300;4.0600;4.0800;1481681
4.1400;4.0100;4.1100;1746967
4.0500;3.9201;4.0100;1502978
4.0300;3.9600;3.9900;1074567
4.0400;3.8800;3.9600;1324153
4.0250;3.8900;3.9000;1489024
4.0700;3.9500;4.0100;1778030
4.2200;4.1101;4.1200;1339909
4.2950;4.1500;4.1800;1170002
4.2300;4.0600;4.2200;1592032
4.2200;4.0700;4.1400;2109227
4.0950;3.9900;4.0000;1777222
4.0700;3.9900;4.0500;1580058
4.1300;3.9900;4.1100;1701993
4.1300;4.0200;4.1200;1401431
4.2350;3.9850;4.0400;2338638
4.3200;4.1150;4.1900;2802422
4.1200;3.9100;4.1200;1620669
4.1700;4.0250;4.1000;1707776
4.2700;4.1001;4.1400;2220691
4.2100;3.9500;4.1200;2558908
4.1400;3.7800;3.9400;4706291
4.3350;4.2200;4.3100;1714515
4.4100;4.3250;4.3800;1839286
4.3200;4.1950;4.2900;1729436
4.3750;4.1800;4.2000;2040257
4.4100;4.2745;4.2800;2293659
4.4200;4.2400;4.4100;2205847
4.3200;4.1000;4.2800;2407270
4.1500;4.0700;4.1100;1239122
4.2400;4.0550;4.1000;1559393
4.2800;4.0950;4.1200;1867271
4.1900;3.9400;4.1600;1971866
3.9800;3.8700;3.9200;1298285
4.1400;3.9000;3.9000;2226881
4.2700;4.0825;4.1400;2046436
4.1800;4.0300;4.1000;1961314
4.1000;3.9150;4.0900;2687051
4.0000;3.8600;3.9000;1540299
3.9800;3.7350;3.9400;2977341
3.8210;3.6150;3.7400;2622023
3.9300;3.8250;3.8600;1295876
3.9300;3.8500;3.8700;709790
3.9500;3.8550;3.8700;1464323
